carat,cut,color,clarity,depth,table,x,y,z,price
0.28,Very Good,F,VS1,60.8,58,4.24,4.28,2.59,487
0.92,Very Good,E,VS1,61.3,57,6.22,6.27,3.83,5210
0.76,Ideal,I,SI1,61.8,57,5.89,5.83,3.62,2399
1.06,Ideal,G,VS1,62.3,55,6.5,6.53,4.06,8451
0.92,Very Good,G,SI2,59.4,62,6.34,6.36,3.77,3618
0.3,Premium,D,VVS2,59.6,61,4.39,4.34,2.6,1099
1.2,Premium,G,VS1,61.4,60,6.86,6.81,4.2,8596
0.42,Premium,G,VS1,62.4,59,4.8,4.78,2.99,984
0.56,Ideal,E,VVS2,62.6,54,5.32,5.28,3.32,2463
0.31,Good,E,VS1,59,63,4.44,4.47,2.63,600
0.3,Ideal,D,SI1,61.9,54,4.32,4.34,2.68,552
0.51,Ideal,E,VVS1,62.4,55,5.08,5.12,3.18,2317
0.9,Very Good,F,SI1,59.1,59,6.3,6.35,3.74,4498
1,Ideal,E,VS2,62.1,57,6.38,6.41,3.97,7569
0.4,Ideal,G,IF,62.2,55,4.76,4.73,2.95,1397
0.71,Very Good,E,VS1,62.6,59,5.68,5.76,3.58,3464
2.09,Ideal,G,SI2,62.5,57,8.21,8.14,5.11,11119
0.39,Ideal,E,VS1,62.2,53.3,4.68,4.7,2.92,1004
0.71,Premium,F,SI1,58.5,59,5.87,5.82,3.42,2345
1.09,Ideal,D,SI1,62.7,56,6.55,6.59,4.12,6133
0.57,Ideal,I,VS2,61.8,57,5.31,5.34,3.29,1410
0.36,Good,H,SI1,63.6,57,4.53,4.49,2.87,665
0.55,Ideal,F,SI2,62.3,57,5.22,5.27,3.27,1175
0.74,Ideal,G,VS1,61.2,56,5.83,5.86,3.58,3635
1.02,Ideal,E,SI2,62.3,56,6.42,6.37,3.98,3455
1.02,Very Good,D,SI1,64.2,58,6.32,6.35,4.07,5803
1.11,Very Good,J,VS2,61.8,56,6.59,6.64,4.09,4283
0.42,Very Good,D,VS1,60.7,60,4.81,4.88,2.94,1066
1.51,Very Good,F,VVS2,63.1,56,7.32,7.26,4.6,17317
2,Very Good,E,SI2,62.9,56,7.94,8,5.01,16064
0.51,Very Good,E,SI1,63.3,59,5.09,5.05,3.21,1402
0.38,Ideal,I,SI1,61.5,56,4.67,4.7,2.88,668
0.34,Premium,E,SI2,61.7,58,4.54,4.5,2.79,612
0.33,Ideal,G,VVS1,61.8,59,4.45,4.48,2.76,802
1.2,Ideal,I,VVS2,62.9,55,6.75,6.79,4.26,7079
0.58,Ideal,E,SI2,62.7,56,5.29,5.34,3.33,1234
0.38,Ideal,H,VVS1,61.2,57,4.65,4.67,2.85,903
1.09,Ideal,G,VVS2,61.5,57,6.62,6.65,4.08,8970
1.05,Ideal,J,VS1,60.6,56,6.59,6.55,3.98,3528
0.84,Very Good,G,VVS2,60.4,55,6.07,6.12,3.68,4259
1.52,Very Good,D,SI2,61.2,63,7.39,7.31,4.5,9030
0.41,Good,E,SI1,63.9,58,4.7,4.72,3.01,755
0.7,Premium,G,VS2,59.4,59,5.79,5.76,3.43,2657
0.45,Ideal,I,VS2,61.7,59,4.96,4.91,3.04,1013
0.92,Very Good,G,SI1,61.8,54,6.25,6.37,3.9,4281
0.9,Ideal,D,SI2,62.3,57,6.17,6.23,3.86,3871
0.9,Premium,I,SI1,61.8,58,6.26,6.2,3.85,3121
0.32,Premium,H,VVS1,62.5,58,4.33,4.37,2.72,730
0.31,Premium,G,IF,61.6,55,4.42,4.38,2.71,988
2.53,Premium,H,SI2,59.6,59,8.9,8.82,5.29,17591
0.86,Ideal,I,VS2,62.1,57,6.1,6.07,3.78,3121
0.9,Premium,G,SI1,60.6,61,6.16,6.12,3.72,3407
1.09,Very Good,H,VS2,63,54,6.61,6.54,4.14,5551
1.01,Very Good,G,VVS2,63.2,59,6.35,6.27,3.99,7267
2.01,Ideal,J,SI1,62.8,58,8.02,7.97,5.02,9725
0.4,Ideal,D,VS2,62.8,57,4.72,4.68,2.95,1050
0.93,Ideal,H,SI1,61.6,54,6.29,6.33,3.89,3985
0.31,Ideal,F,VVS1,62.3,54,4.34,4.36,2.71,840
0.92,Ideal,E,SI2,62.6,57,6.22,6.18,3.88,4309
1.01,Premium,H,SI1,62.7,59,6.33,6.27,3.95,4320
0.71,Very Good,E,VS2,63.5,59,5.68,5.59,3.58,2858
0.23,Very Good,E,VVS1,62.3,58,3.88,3.99,2.45,530
1.08,Ideal,H,VS2,60.3,57,6.67,6.7,4.03,6411
0.3,Ideal,E,SI1,62.3,57,4.29,4.31,2.68,499
