carat,cut,color,clarity,depth,table,x,y,z,price
0.55,Premium,D,VS2,61.6,56,5.33,5.28,3.27,1894
0.72,Ideal,F,VS1,61.1,56,5.79,5.76,3.53,3294
1,Good,G,VS2,58.6,65,6.61,6.53,3.85,5242
0.31,Ideal,H,VS2,62.1,55,4.32,4.35,2.69,489
1.01,Very Good,F,VS1,59.9,59,6.52,6.57,3.92,6825
0.72,Ideal,F,VS1,62,56,5.76,5.73,3.56,2879
0.7,Very Good,F,VVS1,63.1,58,5.6,5.66,3.55,3622
1,Ideal,D,SI1,61.7,57,6.39,6.42,3.95,5489
1.5,Good,H,VS2,61.2,61,7.25,7.32,4.46,10291
0.7,Premium,G,SI1,62,61,5.67,5.62,3.5,2184
0.33,Ideal,D,VVS2,60.3,57,4.52,4.47,2.71,1062
2.07,Very Good,H,SI2,63.3,56,8.1,8.08,5.12,15992
0.3,Very Good,H,SI1,59.4,63,4.35,4.4,2.6,421
1.03,Ideal,H,VS1,61.5,57,6.49,6.45,3.98,4874
0.32,Ideal,E,VS2,62.2,56,4.37,4.41,2.73,702
0.71,Good,J,VS2,63.8,58,5.61,5.58,3.57,1774
1.03,Very Good,E,SI2,61.7,54.9,6.46,6.52,4.01,5393
0.74,Ideal,F,VS1,62,57,5.81,5.78,3.6,3593
1.5,Good,F,SI2,59.7,61,7.39,7.44,4.43,8181
1.2,Good,I,VS1,61.7,62,6.65,6.74,4.13,5818
0.33,Very Good,F,SI1,59.9,61,4.44,4.47,2.67,550
1.01,Premium,E,VVS1,61.6,58,6.57,6.45,4.01,10888
1.53,Very Good,J,VS1,59.5,60,7.55,7.65,4.52,7677
0.59,Very Good,H,VVS2,61.1,57,5.39,5.48,3.32,1771
0.41,Good,F,SI1,63.1,56,4.69,4.73,2.97,685
2.02,Very Good,E,SI1,59.8,59,8.11,8.2,4.88,18731
0.31,Ideal,H,VVS2,62.2,57,4.32,4.36,2.7,625
0.36,Very Good,F,VS1,59.9,58.6,4.62,4.66,2.77,825
0.42,Ideal,F,VS2,62,55,4.79,4.82,2.98,872
1,Premium,H,VS1,62.7,58,6.37,6.33,3.98,4732
0.62,Premium,G,VS1,62.9,58,5.41,5.37,3.39,1770
1,Ideal,D,SI1,60.5,57,6.52,6.48,3.93,5880
0.31,Ideal,G,VVS2,62.4,56,4.33,4.36,2.71,707
0.53,Ideal,J,SI2,62.3,58,5.13,5.17,3.21,1002
0.39,Premium,G,VS1,62.4,57,4.68,4.62,2.9,1097
0.31,Ideal,E,VVS2,61.3,55,4.35,4.39,2.68,791
0.33,Ideal,G,VS1,61.7,56,4.47,4.44,2.75,854
1,Good,D,SI2,62.8,61,6.31,6.36,3.98,4520
0.47,Ideal,H,VS2,62.7,55,5.08,4.95,3.15,1058
0.93,Premium,G,VS2,62.2,59,6.26,6.21,3.88,4750
1.75,Very Good,G,VS2,62.6,58,7.63,7.67,4.79,16632
1.58,Ideal,I,SI1,61.7,56,7.55,7.48,4.64,9335
2.02,Ideal,G,SI2,63.5,54,7.96,8.02,5.07,15814
1.54,Very Good,J,VS1,63.5,57,7.27,7.37,4.65,9285
0.7,Ideal,I,VS2,61.2,55,5.75,5.77,3.53,2249
0.9,Ideal,H,SI1,62.5,56,6.14,6.18,3.85,4492
0.3,Very Good,G,VVS1,63.2,55,4.28,4.3,2.71,710
1.71,Good,H,VS2,63.7,58,7.57,7.54,4.81,13068
1.36,Very Good,D,SI1,59.5,61,7.21,7.24,4.3,9874
0.9,Very Good,I,VS2,59.9,58,6.17,6.22,3.71,3709
0.3,Good,G,SI2,63.7,54,4.25,4.23,2.7,506
0.51,Very Good,E,SI2,63.3,56,5.12,5.08,3.23,1239
0.43,Very Good,F,VS2,61,57,4.84,4.87,2.96,905
2.28,Premium,H,SI2,62.5,58,8.39,8.33,5.23,15413
2.04,Premium,I,SI2,59.8,59,8.3,8.23,4.94,14605
0.3,Premium,D,SI1,59.7,59,4.34,4.37,2.6,552
1.61,Premium,F,SI1,60.2,58,7.61,7.65,4.59,10477
0.5,Premium,D,VS2,60.2,57,5.21,5.15,3.12,1845
1.55,Premium,H,VS2,60.7,58,7.51,7.47,4.55,11567
1.01,Premium,G,VS1,60.9,58,6.43,6.47,3.93,6759
0.9,Fair,E,VS2,64.5,61,6.07,6.03,3.9,4125
1.45,Very Good,J,VS2,62.6,58,7.28,7.16,4.52,6980
0.9,Good,E,SI1,57.9,60,6.3,6.34,3.66,4190
0.3,Fair,E,VS2,66.7,59,4.23,4.05,2.78,630
1.15,Ideal,F,VVS2,62.1,55,6.69,6.74,4.17,8743
0.32,Good,D,SI1,63.8,56,4.35,4.33,2.77,756
0.55,Premium,G,SI2,60.3,58,5.35,5.33,3.22,1186
0.5,Good,G,VVS2,63.6,57,5.04,5.08,3.22,1764
0.55,Very Good,H,VS2,62,55.2,5.28,5.31,3.28,1548
1.21,Very Good,J,VS2,61.5,58,6.85,6.9,4.23,5211
0.7,Ideal,E,VS2,61.7,56,5.74,5.71,3.53,2979
0.55,Ideal,D,VS1,61.4,57,5.26,5.29,3.24,2054
0.91,Good,H,SI1,63.7,60,6.16,6.09,3.9,3229
0.33,Premium,H,VS1,61.9,58,4.45,4.43,2.75,743
1.23,Very Good,E,SI1,59.2,62,7,7.05,4.16,7143
1.02,Very Good,E,VS2,63.2,60,6.34,6.29,3.99,6580
1.23,Very Good,E,VVS2,60.4,62,6.88,6.93,4.17,11175
0.54,Ideal,D,VS2,61.8,57,5.26,5.22,3.24,1993
0.58,Premium,F,VS1,61.1,59,5.39,5.35,3.28,2668
0.77,Ideal,H,SI1,61.7,56,5.9,5.85,3.62,2612
0.72,Very Good,F,SI1,62.2,59,5.72,5.76,3.57,2404
0.3,Ideal,G,IF,61.8,55,4.33,4.35,2.68,813
0.9,Premium,H,VS2,61.3,59,6.24,6.19,3.81,4082
0.38,Ideal,E,VVS1,61.3,55,4.67,4.72,2.88,1200
1.26,Very Good,G,VVS2,62.1,58,6.92,6.83,4.27,9158
0.71,Very Good,J,VS1,64.1,58,5.61,5.65,3.61,1993
0.3,Ideal,D,SI1,61.3,57,4.34,4.37,2.67,670
0.43,Premium,E,VS1,62.3,58,4.78,4.82,2.99,1131
0.7,Very Good,H,VVS2,62.6,57,5.63,5.65,3.53,2558
0.4,Ideal,D,VS2,62.8,57,4.72,4.68,2.95,1050
1.1,Ideal,G,VVS2,60.5,56,6.76,6.7,4.07,9215
0.77,Ideal,G,VS1,62.2,56,5.9,5.85,3.66,3148
0.86,Very Good,G,SI2,62.6,56,6.01,6.07,3.78,2967
0.22,Premium,F,SI1,60.4,61,3.88,3.84,2.33,342
0.7,Very Good,G,VS2,61.9,55,5.63,5.71,3.51,2507
1.5,Ideal,I,VS1,62,53,7.4,7.35,4.57,9618
1,Good,G,SI1,64.3,58,6.25,6.22,4.01,4427
0.3,Very Good,G,VS1,63.4,58,4.25,4.23,2.69,776
0.38,Very Good,H,VS2,60.6,58,4.68,4.7,2.84,700
1.04,Premium,H,SI1,58.5,62,6.67,6.64,3.89,4659
1,Fair,G,SI1,64.4,57,6.32,6.28,4.06,4295
0.52,Ideal,E,VVS2,62.3,57,5.12,5.15,3.2,2116
0.55,Ideal,D,VS2,58.5,58,5.42,5.39,3.16,2079
1.25,Premium,H,VS1,62.7,59,6.82,6.86,4.29,7328
0.71,Good,G,VS2,63.5,59,5.63,5.67,3.59,2029
0.91,Very Good,E,SI1,60.5,61,6.19,6.23,3.76,4211
0.3,Ideal,E,VVS2,62.2,54.4,4.3,4.32,2.68,779
0.23,Very Good,E,VVS2,61.4,55,3.92,3.99,2.43,458
0.92,Premium,F,SI2,58.9,59,6.38,6.35,3.75,3282
0.38,Ideal,G,SI1,61,55,4.69,4.73,2.87,723
0.71,Very Good,F,SI1,59,61,5.84,5.88,3.46,2505
0.4,Very Good,E,SI1,60.9,56,4.76,4.8,2.91,737
1.52,Premium,E,VS1,60.6,58,7.38,7.44,4.49,16628
0.9,Fair,H,SI1,61.4,61,6.08,6.14,3.75,3282
0.31,Premium,G,VVS2,60.5,58,4.43,4.39,2.67,907
0.56,Premium,G,VS1,61.2,60,5.26,5.3,3.23,1819
0.27,Ideal,F,VS2,60.3,56,4.21,4.25,2.55,470
0.5,Ideal,E,SI1,62.3,56,5.06,5.12,3.17,1410
1.51,Premium,G,SI1,61.6,59,7.32,7.3,4.5,10739
0.32,Ideal,E,VS2,62,55,4.36,4.38,2.71,702
0.74,Very Good,D,SI2,63.1,58,5.69,5.79,3.62,2713
1.15,Ideal,E,VS2,61.4,57,6.73,6.76,4.14,9967
1,Good,E,SI1,62.4,59,6.35,6.4,3.98,4936
1.52,Ideal,H,SI1,61.5,58,7.4,7.36,4.54,10589
0.41,Ideal,F,VS1,61.9,57,4.73,4.77,2.94,1007
1.17,Ideal,F,VS2,61.8,55,6.74,6.81,4.19,7927
0.37,Premium,H,SI1,63,58,4.59,4.55,2.88,666
0.43,Ideal,I,VS1,62.4,56,4.81,4.84,3.01,1218
2,Fair,I,SI2,65,57,8.01,7.96,5.19,9610
0.29,Very Good,F,VVS1,62.3,58,4.22,4.25,2.64,664
1.26,Premium,F,SI1,62.3,58,6.89,6.84,4.28,6915
1.21,Very Good,I,SI1,61.8,59,6.75,6.78,4.18,5672
0.9,Very Good,I,VS2,61.4,58,6.16,6.26,3.81,3445
0.4,Very Good,G,VVS1,60.9,57,4.76,4.8,2.91,1123
0.32,Ideal,G,SI1,61.3,56,4.39,4.42,2.7,477
0.31,Premium,F,VS2,61.4,58,4.4,4.36,2.69,802
1.03,Premium,F,VS1,62.2,57,6.51,6.47,4.04,7365
0.72,Ideal,E,SI2,62.4,57,5.73,5.77,3.59,2355
0.3,Premium,G,VVS2,62.7,56,4.31,4.24,2.68,878
0.8,Ideal,H,VS2,62.8,57,5.91,5.87,3.7,2834
0.32,Very Good,G,VVS2,62.3,54,4.38,4.45,2.75,730
1.01,Ideal,F,SI1,62.3,55,6.38,6.31,3.95,4276
0.24,Ideal,H,VVS1,60.7,57,4.02,4.05,2.44,504
0.7,Fair,H,SI1,65.3,55,5.58,5.54,3.63,1865
1.05,Premium,H,SI1,59.3,58,6.65,6.61,3.93,5161
2.29,Premium,J,IF,61.4,60,8.49,8.45,5.2,18594
1.52,Premium,E,VS1,62.4,55,7.41,7.33,4.6,16636
1.22,Ideal,G,VVS2,60,58,6.95,6.99,4.18,11003
1.21,Ideal,J,VS2,62.2,57,6.78,6.82,4.23,4879
0.4,Good,G,VVS2,61.4,64,4.65,4.7,2.87,974
0.52,Premium,G,VS1,62.4,60,5.12,5.11,3.19,1815
0.38,Premium,G,VVS1,61.3,57,4.68,4.62,2.85,1064
0.42,Premium,G,VS1,60.6,58,4.95,4.82,2.96,984
1.16,Ideal,D,VS1,61.2,58,6.73,6.76,4.13,10241
0.94,Ideal,D,SI2,62.1,56,6.21,6.25,3.87,4182
2.05,Ideal,J,VS1,61.4,59,8.16,8.13,5,16793
1.23,Very Good,H,SI1,60.3,58,6.93,6.96,4.19,6997
0.42,Premium,G,VS1,59.4,59,4.9,4.86,2.9,984
0.72,Good,H,SI2,65.8,59,5.51,5.58,3.65,1945
0.71,Premium,D,VS1,62.9,57,5.66,5.6,3.54,2860
0.39,Ideal,F,VS1,62.5,57,4.66,4.69,2.92,895
1.12,Ideal,F,VS1,61.8,56,6.67,6.69,4.13,9007
0.5,Good,G,SI1,63.6,55,5.03,5.06,3.21,1197
1.22,Premium,F,SI1,62.5,59,6.83,6.78,4.25,7059
1.01,Very Good,F,VS2,58.8,59,6.55,6.59,3.86,6288
1.2,Premium,J,SI2,59.6,62,6.95,6.9,4.13,3951
