carat,cut,color,clarity,depth,table,x,y,z,price
0.38,Ideal,E,IF,62.7,55,4.61,4.67,2.91,1433
1.56,Ideal,F,SI2,61.6,56,7.41,7.45,4.58,10210
1.01,Ideal,J,SI2,61.9,55.3,6.43,6.5,4.01,4099
0.34,Ideal,H,SI1,62.6,56,4.46,4.48,2.8,490
0.4,Very Good,D,SI2,63,59,4.64,4.69,2.94,622
0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,2583
0.3,Ideal,F,VS1,62.2,56,4.31,4.34,2.69,621
1.23,Ideal,H,VVS2,62,55,6.85,6.9,4.26,8079
0.96,Good,D,SI1,61,61,6.29,6.33,3.85,4693
0.3,Ideal,E,VS1,60.8,57,4.36,4.33,2.64,911
1.01,Premium,G,VS2,61.6,61,6.46,6.36,3.95,5864
1.69,Ideal,F,VS2,62.2,57,7.59,7.66,4.74,16789
0.58,Premium,F,SI1,61,57,5.41,5.34,3.28,1634
1.04,Ideal,F,VVS2,62.2,56,6.53,6.46,4.04,9281
0.5,Very Good,E,VS2,60.2,60,5.13,5.17,3.1,1561
0.54,Ideal,E,VS2,61.4,57,5.25,5.21,3.21,1847
0.31,Very Good,E,VVS1,61.2,58,4.35,4.38,2.67,890
0.31,Premium,D,VVS1,62.1,59,4.38,4.32,2.7,942
0.58,Very Good,E,VS2,60.9,58,5.4,5.39,3.29,1899
0.31,Ideal,I,VS1,62.8,57,4.32,4.28,2.7,628
0.54,Ideal,G,VVS1,61.8,55,5.27,5.24,3.25,2236
0.32,Premium,G,VS2,62.8,58,4.35,4.31,2.72,720
1.15,Ideal,H,SI2,60.5,56,6.83,6.8,4.13,4315
0.32,Ideal,J,IF,62.2,55,4.44,4.4,2.75,684
1.36,Premium,G,I1,62.1,57,7.11,7.06,4.4,4509
1.2,Ideal,I,SI1,62.2,57,6.8,6.77,4.22,4368
1.1,Ideal,J,SI1,61.5,55,6.65,6.68,4.1,4390
0.31,Premium,G,VS2,61.5,60,4.34,4.31,2.66,698
0.54,Ideal,H,VVS1,60.3,56,5.28,5.33,3.2,1846
0.51,Ideal,E,VS2,61.7,54,5.13,5.18,3.18,1656
0.32,Very Good,J,SI1,61.6,58,4.36,4.4,2.7,374
0.33,Ideal,E,VS2,61.6,55,4.46,4.5,2.76,873
