carat,cut,color,clarity,depth,table,x,y,z,price
1.31,Ideal,F,SI1,62.4,57,6.96,6.88,4.32,8227
0.3,Premium,G,VVS2,61.8,59,4.26,4.22,2.62,878
0.34,Very Good,F,VS2,62.5,57.5,4.4,4.45,2.77,730
1.01,Premium,H,I1,60.1,58,6.49,6.44,3.89,2520
1.02,Very Good,G,SI1,62,57,6.41,6.5,4,4633
0.43,Good,D,SI2,63.3,57,4.79,4.82,3.04,669
0.52,Very Good,I,VVS2,61.9,56,5.16,5.18,3.2,1289
0.31,Ideal,E,VVS1,61.7,56,4.36,4.33,2.68,988
0.38,Ideal,E,VVS2,62,57,4.61,4.62,2.86,1100
0.43,Premium,F,SI2,60.2,60,4.85,4.91,2.94,679
0.31,Very Good,D,SI2,61.5,60,4.31,4.34,2.66,462
2.01,Very Good,I,SI2,61.4,63,8.19,7.96,4.96,9781
0.34,Very Good,G,VS1,60.4,61,4.48,4.53,2.72,686
0.74,Very Good,E,VS2,61.4,63,5.79,5.77,3.55,2638
0.73,Premium,G,VS2,59.2,59,5.92,5.87,3.49,2770
0.8,Ideal,F,VS2,62,55,5.93,6,3.7,3653
0.31,Premium,D,SI1,61.4,58,4.34,4.39,2.68,571
0.5,Premium,G,VS1,62.5,58,5.11,5.07,3.18,1746
1.51,Very Good,G,VS1,63.5,55,7.26,7.3,4.62,13624
2.11,Premium,H,SI2,60.9,59,8.3,8.25,5.04,12633
1.08,Good,G,VS2,58.9,58,6.69,6.75,3.96,6708
0.7,Good,E,VS1,65.5,57,5.46,5.54,3.6,2657
1,Very Good,H,VVS2,60.3,59,6.41,6.46,3.88,5929
0.51,Very Good,H,VVS1,63.2,57,5.06,5.1,3.21,1744
0.6,Premium,E,SI1,59.6,59,5.52,5.48,3.28,2016
0.96,Very Good,H,VS2,61.2,57,6.34,6.38,3.89,4136
1.29,Ideal,E,SI2,62.8,57,6.94,6.88,4.34,6473
1.09,Ideal,D,SI2,62.1,56,6.56,6.59,4.08,5164
0.32,Ideal,E,VVS1,61.7,56,4.4,4.42,2.72,954
1,Premium,D,SI1,62.2,58,6.45,6.34,3.98,5723
1.59,Premium,F,VS2,60.2,60,7.62,7.59,4.58,15602
0.32,Ideal,E,IF,61.9,56,4.42,4.4,2.73,1170
0.27,Good,E,VS1,57.5,63,4.24,4.28,2.45,377
1.57,Ideal,F,SI1,62.4,56,7.46,7.41,4.64,11523
0.3,Ideal,H,VS1,62.5,56,4.24,4.27,2.66,526
0.32,Ideal,G,SI1,61.3,56,4.39,4.42,2.7,477
0.71,Premium,H,VS1,62.4,58,5.73,5.68,3.56,2572
1.1,Ideal,E,SI2,61.6,57,6.68,6.64,4.1,4829
0.4,Premium,D,SI2,61.7,58,4.74,4.69,2.91,855
0.54,Ideal,G,VVS1,61.9,54,5.23,5.25,3.24,2041
0.36,Ideal,D,SI1,62.2,53,4.57,4.59,2.85,626
1.02,Very Good,E,VVS1,60.2,60,6.39,6.54,3.89,10641
1,Ideal,E,SI2,62.9,55,6.38,6.41,4.02,4808
0.3,Ideal,F,VVS2,62.1,57,4.27,4.29,2.66,694
0.99,Very Good,F,SI2,61.2,56,6.4,6.45,3.93,4852
1.11,Very Good,F,VVS2,59.4,58,6.74,6.79,4.02,11650
0.43,Ideal,D,VS1,61.9,55,4.87,4.85,3.01,1264
0.25,Very Good,E,VVS1,60.1,57,4.08,4.11,2.46,526
0.5,Ideal,E,SI2,62.4,57,5.07,5.03,3.15,1240
1.1,Very Good,D,SI2,61.6,57,6.61,6.67,4.09,5226
0.3,Good,G,SI2,63.7,54,4.23,4.25,2.7,394
0.33,Ideal,H,VVS2,61.3,56,4.43,4.47,2.73,827
2.04,Fair,I,SI2,66.6,56,7.8,7.77,5.19,9802
0.61,Very Good,G,SI1,62,58,5.43,5.48,3.38,1659
0.64,Premium,D,VS2,60.9,59,5.6,5.63,3.42,2243
