일시,광진구,동대문구,성동구,중랑구
20220101,3.6078694717582076,3.2204931907357888,2.8897359992052705,2.5579861512658977
20220102,3.66554797435823,3.278462873760653,2.888371867684718,2.5338691642678586
20220103,5.132471288898886,4.287388152242641,4.112439794677145,2.796629271244281
20220104,5.276099361326888,4.287660680853547,4.076939746562242,2.94142016076222
20220105,4.9358996848459205,4.035447462162925,3.815445709670299,2.707876566824975
20220106,5.182071136551715,4.233164198410023,4.03835133587009,2.999329000187471
20220107,5.1069135207617204,4.194506593806853,3.862273113695956,2.832528446445595
20220108,3.6617213556016717,3.2584555242626188,2.8393208744025027,2.572426209685847
20220109,4.256353666849045,3.295730039159888,3.261748899709926,2.5508305771642874
20220110,5.197183763027938,4.782069978302627,4.2190952237759545,3.0674359786859324
20220111,4.528359169258609,3.627618000684821,3.549455993306231,2.460741309374323
20220112,4.373648328668866,3.480112516238921,3.4170017787277662,2.336758974915484
20220113,4.266106832627287,3.4213015227604133,3.284472687087583,2.3637502425078347
20220114,4.480791861658215,3.5216482966761475,3.5124620643071203,2.444163167514578
20220115,3.6775001002021295,3.0415684344202423,2.767865581352118,2.3293945120781965
20220116,4.029381450701811,3.305656922299985,2.976064829659381,2.5128927544695148
20220117,4.195582919938102,3.497203464197359,2.9465815168723672,2.339367965150907
20220118,4.869586227008329,3.9492931177670347,3.8990209481340825,2.7018513256410883
20220119,4.065338998778711,3.416737683473125,3.0944714279185264,2.37628987158494
20220120,4.564979849354482,3.807003729889475,3.5938375014626813,2.683834980173182
20220121,5.245949925498166,4.230442347354931,4.120695385652618,3.084631657386427
20220122,5.082515482334486,3.989880901902942,3.9541654434016036,2.9607771563477203
20220123,5.209483811556322,3.8863684248038397,4.10355093332188,2.8854803353997824
20220124,6.393699506982832,5.89626989663928,5.417881324390826,4.014280374410411
20220125,3.7075201906815454,3.3058459672597684,2.891305163512511,2.3581307451694773
20220126,6.540843677057853,5.655089136785496,5.416096555799588,3.811631168331722
20220127,5.742391439181508,4.971123765964265,4.326756694834944,3.288188697470505
20220128,5.3119029745316535,4.251645385092271,4.1472044917040085,3.0906758150629465
20220129,4.3964665097401046,3.2971366254239047,3.4663187908035393,2.5546339663626787
20220130,4.355115092809877,3.3388706185109323,3.535717071158024,2.506211681246767
20220131,6.115680829550647,5.284641399796892,4.700151002961896,3.3964622269889606
20220201,4.298800398744678,4.005979154057621,3.6467390999554987,2.6493359124571185
20220202,5.281775203077662,4.686855009350371,4.213483185082956,3.2158634393073044
20220203,5.331142677493475,4.838091848422151,4.185315161114768,3.263063288968816
20220204,4.834622013282405,3.8316554820077204,4.0210451067235,2.719572889947115
20220205,3.7648366577727703,2.8982075087924524,2.7806759806180605,2.173370682009248
20220206,4.104813282656292,3.295582118374921,3.040970768831403,2.52556049637069
20220207,5.152968387064466,4.334198713305223,4.019443108118876,2.956959788055815
20220208,6.121276382596597,5.295981227738556,4.876632054423549,3.5462513262372144
20220209,6.449815077049112,5.704197120311419,5.199695698470008,3.9713380099319333
20220210,6.63790367284989,5.687514678335029,5.498560663024676,4.013597816596932
20220211,6.170126962726229,5.346145615238301,4.876586116933575,3.776654325732247
20220212,6.4269071350053375,4.839699333767836,5.233447632531339,3.9068498088181305
20220213,5.270694249376081,3.907310119142426,4.241980649261109,3.1053906393869672
20220214,5.172478225676901,4.848802805338004,4.229988293223119,3.159979010490139
20220215,4.343951681584487,3.6488359639993035,3.593670591764571,2.5117331671795284
20220216,4.496481124283268,3.4370544520214485,3.5693086428508307,2.3457735285996355
20220217,4.526452682964172,3.5200276381951654,3.7258538303442488,2.449428062122997
20220218,5.334550349860896,4.287485104649399,4.187764133980334,3.0263102940523345
20220219,4.1957697766209945,3.282419241908284,2.9896444496146373,2.553097206574569
20220220,4.445448531520708,3.2419410397026773,3.57221256768665,2.508701432373985
20220221,5.1892717876821965,4.343374842750348,4.2099833003496006,2.811492022624646
20220222,5.177353947478598,4.350699245566875,4.241814817651592,2.7971935686711795
20220223,5.151336506198113,4.295160308864065,4.041738809844431,2.8266225276848624
20220224,5.483919756468919,4.849824665008348,4.12497379485082,3.302111313958724
20220225,5.575418896525233,4.9612363463372,4.698998289704145,3.31328424144925
20220226,5.8601634762056705,4.663604201058521,4.719320910251007,3.514569515861823
20220227,5.82104438667931,4.432173181827212,4.732682346670624,3.5819571219975255
20220228,7.105021458539741,6.377614886567219,5.7357159103341,4.44922489003528
20220301,6.6669934330838645,5.738762324618326,5.518680618334176,3.908680679163357
20220302,6.9439707874534875,5.97270815008729,5.673223549852543,4.383673127191607
20220303,7.729813732674166,6.807319160741224,6.384718977895357,4.811869149891331
20220304,7.399715537217824,6.451898929411756,6.155682892894978,4.5946627242975815
20220305,5.625662705734297,4.51241035607393,4.441567837248759,3.555124544972786
20220306,5.65287274257426,4.306521294252951,4.516930355017069,3.4651560228700244
20220307,6.099176764651076,5.675070673700322,5.063434624941114,3.724090599403793
20220308,7.323961538195837,6.494031334000881,6.191716275702395,4.4971810720080745
20220309,8.48168517190309,7.161329612255643,6.956875385882726,5.199741673640713
20220310,9.193257106767147,7.501702957378425,7.6175027501483425,5.356487853074344
20220311,10.275352734238401,8.507033699119459,8.69720624720376,6.165168691348065
20220312,10.345190960268765,7.672040566359122,9.068949469077056,6.06865815401551
20220313,2.563381388589219,2.146543236101967,2.0144167740576098,1.621179489912236
20220314,4.335185982046484,3.5108248315623984,3.409645143288736,2.360382766915646
20220315,7.70227988989744,6.701131592520472,6.576649359088946,4.451284003695997
20220316,9.604674926987304,7.962595313643416,8.205191547686297,5.698712079158198
20220317,9.048235461930416,7.5237105688257575,7.54663215291213,5.342663447274485
20220318,7.88925532671232,6.705127272153937,6.413297972711855,4.45040357150503
20220319,5.36924644240567,4.041630566950045,4.335599335227549,2.996754240961768
20220320,6.869811161654925,5.295074272695713,5.687419315919232,4.053506991352802
20220321,7.339072830655155,6.52455702224374,6.136110063597706,4.496170447794335
20220322,8.243721713241346,7.040816329608967,6.7522052276836835,5.125284022061318
20220323,7.340910972601806,6.258445414914846,6.002315466071224,4.46758287081138
20220324,7.728579509601625,6.647156874634213,6.362695605949004,4.4298704524204915
20220325,9.273532795062197,7.443560281930119,7.666131447335114,5.292368223491427
20220326,8.562144512332827,6.368296650399324,7.11806464593086,5.130092509470583
20220327,8.30976972612681,6.132434882291916,6.751122119715856,4.756578731627926
20220328,8.770063220749114,7.271797212897812,7.44491268979152,5.315684003618978
20220329,9.706846415789602,8.10326016355527,8.168713189117792,5.62721469095516
20220330,8.274321281520727,7.029889848093626,6.7664503233197015,4.863567159764399
20220331,9.831239098354262,8.235942512246591,8.615848629493337,5.876747894538063
20220401,10.293929749778181,8.194881652626368,8.45928007429996,5.941206052266677
20220402,9.217410000760163,6.544571915062847,7.857434444825355,5.257415926501499
20220403,9.252989061579987,6.528269179293867,8.147819283738825,5.211048662445933
20220404,9.782980077615706,8.071087812799709,8.172870103552562,5.73190962627951
20220405,10.263209758843614,8.305060121263214,8.573461160266788,6.042026497282337
20220406,10.888429128324203,9.367110820979777,9.255064146165346,6.36234778783354
20220407,10.664353460848218,8.816508395751068,9.1517346743735,6.436913409062866
20220408,11.63956362721021,9.41622676692456,9.787001943290042,6.61106434311165
20220409,12.690492077916245,9.491046141611426,11.09649728163951,7.363539245589461
20220410,12.25775056470933,8.917570954207834,10.632768523170036,6.634208804820199
20220411,12.401014554678849,10.163523187437148,10.321480146894336,7.367542638739293
20220412,11.983597478374604,9.964163034455309,10.427943123923823,7.143273135660296
20220413,6.565864928643549,5.620727409350689,5.399780826990808,3.8016963185329513
20220414,10.39804240641654,8.804518289945273,8.815018012494717,6.061085511678893
20220415,12.092800051422794,9.91006464459407,10.383415033424376,7.199406102699275
20220416,12.031460236079988,8.837151050459749,10.202515630541715,6.669286250530429
20220417,11.875931807175695,8.639855989916557,10.410180199714675,6.509164321640679
20220418,12.08713649726229,9.977419214041184,10.339876405772781,7.158752599042687
20220419,12.078539151786984,10.01987945656745,10.222721513748086,7.197184198209573
20220420,12.148534465014217,10.065418428917164,10.43189178526991,7.216438186994781
20220421,12.419172550964653,10.133511624465124,10.348654083768057,7.26477582804579
20220422,5.683135263227806,4.955144105722531,4.580769112827697,3.486093298023416
20220423,13.091720869275168,9.401209965573239,11.32981094129212,7.468792662002134
20220424,12.215503525682673,8.870956272286891,10.843255169479182,6.797860150832152
20220425,10.504797907822395,8.189205015352028,8.738526847463463,6.127099037141159
20220426,12.66566743138206,10.753878265932428,10.933898051039,7.664831188196775
20220427,12.390347104733067,9.911251504511732,10.47942512087753,7.298376992279475
20220428,12.989264817264157,10.68058751465951,10.968145369575982,7.653672665283949
20220429,10.907339088457412,9.21989662868758,9.415335344622926,6.417526847113146
20220430,10.45093232995938,8.075674051303205,9.23981230173052,6.229431774007047
20220501,11.574784446119578,8.663306996894958,10.399889809768357,6.577273019016988
20220502,11.975653842565396,9.962999176911763,10.207720958837125,7.173919440836617
20220503,12.057864518251922,9.977324795172919,10.313470000808158,7.201977572630757
20220504,12.614987202630683,10.139888751363905,10.942542029610177,7.535423690214549
